,player,team,position,batting_average,obp,slugging_percentage,ops,games_played,at_bats,runs,hits,doubles,triples,homeruns,rbi,hit_by_pitch,walks,strikeouts,stolen_bases,caught_stealing,all_american
111,Briana Ramirez,Towson,,0.379,0.412,0.434,0.846,47,145,23,55,4,2,0,11,0,8,20,4,1,False
112,Morgan Hess,Presbyterian,,0.379,0.465,0.848,1.313,50,132,36,50,14,0,16,5,0,22,0,0,0,False
113,Jameson Kavel,Duke,,0.379,0.431,0.776,1.207,55,174,59,66,16,1,17,49,1,17,16,15,1,True
114,Danieca Coffey,LSU,,0.379,0.457,0.474,0.931,57,190,44,72,9,3,1,1,1,27,0,0,0,False
115,Miah McDonald,Marist,,0.379,0.44,0.621,1.061,54,161,37,61,10,4,7,47,2,18,29,24,1,False
116,Grace Gressly,Dayton,,0.379,0.469,0.442,0.911,39,95,4,36,6,0,0,19,2,15,14,0,0,False
117,Sofia Morales,UNLV,,0.378,0.414,0.423,0.837,57,156,40,59,3,2,0,18,0,11,11,6,3,False
118,Andreya Flores,Fairleigh Dickinson,,0.378,0.444,0.566,1.01,47,143,10,54,9,0,6,30,7,11,6,2,0,False
119,Samaria Jackson,Arkansas-Pine Bluff,,0.377,0.419,0.736,1.155,40,106,23,40,5,3,9,21,0,9,17,1,0,False
120,Annalia Paoli,Ohio,,0.377,0.446,0.678,1.124,48,146,34,55,5,3,11,39,1,18,16,8,2,False
121,Mia Scott,Texas,,0.377,0.443,0.554,0.997,64,204,62,77,14,5,4,38,0,25,29,26,2,False
122,Faith Hoe,Weber State,,0.377,0.443,0.532,0.975,50,154,45,58,12,3,2,41,3,20,28,6,0,False
123,Gabrielle Callaway,Rutgers,,0.377,0.472,0.649,1.121,55,154,39,58,10,1,10,47,12,21,21,13,1,False
124,Jessi Alcala,Cal State Fullerton,,0.377,0.41,0.596,1.006,54,151,26,57,12,0,7,0,4,7,0,0,0,False
125,Mack Leonard,Florida State,,0.377,0.473,0.611,1.084,60,175,31,66,15,1,8,2,1,31,0,0,0,False
126,Logan Morris,NC State,,0.377,0.484,0.688,1.172,55,154,34,58,9,0,13,44,7,26,16,3,0,False
127,Marlaina Bozek,George Mason,,0.377,0.485,0.449,0.934,50,138,25,52,8,1,0,23,4,25,21,11,5,False
128,Sam Hackenbracht,Ohio State,,0.377,0.444,0.755,1.199,53,159,33,60,12,0,16,4,3,16,0,0,0,False
129,Jillian Taylor,New Mexico State,,0.376,0.448,0.616,1.064,46,125,38,47,9,0,7,24,3,14,25,10,1,False
130,Ellessa Bonstrom,Utah,,0.376,0.503,0.709,1.212,52,141,43,53,10,2,11,44,10,31,18,11,2,True
131,Alycia Flores,Boise State,,0.375,0.413,0.588,1.001,47,136,34,51,8,0,7,34,5,8,9,2,0,False
132,Elise Ontiveros,Montana,,0.375,0.457,0.525,0.982,38,80,17,30,5,2,1,20,7,6,11,5,0,False
133,Shea Clements,Dixie State,,0.374,0.424,0.594,1.018,50,155,34,58,4,0,10,37,4,10,20,17,0,False
134,Hannah Gammill,Arkansas,,0.374,0.513,0.781,1.294,59,155,50,58,9,0,18,0,20,24,0,0,0,True
135,Cana Davis,Florida Gulf Coast,,0.374,0.45,0.763,1.213,50,139,25,52,11,2,13,44,3,17,24,0,1,False
136,Greta LEsperance,Bowling Green,,0.374,0.427,0.426,0.853,55,190,42,71,5,1,1,6,0,19,30,32,4,False
137,Alyssa Costello,Stony Brook,,0.373,0.418,0.578,0.996,36,102,27,38,9,0,4,28,2,6,24,7,1,False
138,Abby Stuart,Columbia,,0.373,0.426,0.585,1.011,38,118,18,44,4,0,7,21,1,10,22,1,0,False
139,Mya Dodge,Northern Iowa,,0.373,0.441,0.706,1.147,46,153,43,57,8,2,13,34,1,21,27,21,5,False
140,Taylor Hill,Seton Hall,,0.373,0.404,0.612,1.016,42,134,26,50,15,1,5,36,3,6,30,2,1,False
141,Alyssa Vasquez,Howard,,0.373,0.41,0.609,1.019,53,161,30,60,17,0,7,47,1,10,10,3,0,False
142,Daphne Plummer,Missouri State,,0.373,0.407,0.447,0.854,48,161,32,60,6,3,0,8,3,7,12,29,4,False
143,Mya Felder,Nebraska,,0.373,0.407,0.503,0.91,50,161,24,60,9,0,4,37,0,10,15,1,0,False
144,Haley Denning,Utah,,0.373,0.391,0.414,0.805,50,169,40,63,3,2,0,11,1,4,19,24,4,False
145,Tuli Iosefa,Norfolk State,,0.372,0.488,0.682,1.17,48,129,25,48,7,0,11,46,5,25,20,0,0,False
146,Amy Vetula,Lipscomb,,0.372,0.447,0.445,0.892,51,164,40,61,8,2,0,15,1,22,20,9,8,False
147,Isabella Henning,Indiana State,,0.372,0.431,0.608,1.039,49,148,28,55,12,1,7,40,1,16,20,1,1,False
148,Naomi Hernandez,Long Beach State,,0.371,0.494,0.457,0.951,50,140,25,52,6,0,2,26,6,30,23,1,0,False
149,Jasmine Perezchica,Arizona,,0.371,0.402,0.394,0.796,59,170,43,63,2,1,0,13,0,9,27,10,3,False
150,Kristi DiMeo,Drexel,,0.371,0.464,0.603,1.067,46,151,27,56,12,1,7,34,6,22,8,1,2,False
151,Alexa Langeliers,Louisiana,,0.37,0.477,0.782,1.259,47,119,38,44,6,2,13,42,3,25,17,5,0,False
152,Kayt Houston,Appalachian State,,0.37,0.442,0.641,1.083,55,181,46,67,10,0,13,42,2,22,24,7,0,False
153,Allyson Riches,Alabama A&M,,0.37,0.44,0.49,0.93,38,100,18,37,10,1,0,23,1,13,13,0,1,False
