player,team,position,batting_average,obp,slugging_percentage,ops,games_played,at_bats,runs,hits,doubles,triples,homeruns,rbi,hit_by_pitch,walks,strikeouts,stolen_bases,caught_stealing
Meredith Slaw,Virginia Tech,,0.353,0.384,0.621,1.005,46,116,10,41,4,0,9,41,3,4,9,0,0
Rachel Lewis,Northwestern,,0.353,0.495,0.832,1.327,58,167,67,59,7,2,23,62,5,45,34,26,3
Ellie Mataya,Boston College,,0.353,0.416,0.497,0.913,47,153,23,54,11,4,1,13,2,16,22,11,3
Shyanne Sheffield,Tennessee-Martin,,0.353,0.422,0.471,0.893,48,136,41,48,5,1,3,28,1,16,27,8,0
Presley Jantzi,Montana,,0.353,0.405,0.496,0.901,42,119,21,42,11,0,2,17,1,10,17,0,0
Nora Conway,Wagner,,0.352,0.368,0.492,0.86,45,122,15,43,6,4,1,14,1,2,15,2,1
Kristin Fifield,Grand Canyon,,0.352,0.399,0.673,1.072,55,162,33,57,4,3,14,55,3,13,32,7,1
Savannah Behabetz,Incarnate Word,,0.352,0.385,0.389,0.774,42,108,21,38,2,1,0,9,0,7,16,7,2
Rachel Crabtree,Duke,,0.352,0.446,0.628,1.074,55,145,33,51,8,1,10,40,12,15,26,1,1
Jordan Nastos,Hartford,,0.352,0.381,0.462,0.843,40,91,13,32,10,0,0,4,0,5,10,8,3
Madison Jones,Oakland,,0.351,0.395,0.642,1.037,43,151,40,53,10,2,10,25,4,7,8,7,1
Cameron Fagan,Virginia Tech,,0.351,0.418,0.497,0.915,55,185,42,65,5,2,6,27,0,22,16,3,2
Emme Olson,Illinois State,,0.351,0.448,0.565,1.013,52,154,20,54,16,1,5,1,3,24,0,0,0
Adrienne Chang,Princeton,,0.351,0.415,0.523,0.938,38,111,6,39,8,1,3,1,0,12,0,0,0
Gabbie Kowalik,Saint Louis,,0.35,0.422,0.606,1.028,51,160,43,56,9,4,8,31,12,10,18,20,4
Laura Mealer,Middle Tennessee,,0.35,0.427,0.607,1.034,53,163,34,57,8,2,10,28,2,20,25,9,1
Janel Gamache,UNC Wilmington,,0.35,0.451,0.667,1.118,41,117,24,41,10,3,7,0,7,16,0,0,0
Billie McFadyen,Dartmouth,,0.35,0.408,0.533,0.941,44,137,22,48,5,4,4,25,1,13,10,8,1
Sona Halajian,California,,0.35,0.429,0.637,1.066,55,157,27,55,6,0,13,43,3,21,30,5,1
Ally Shipman,Alabama,,0.35,0.429,0.571,1,56,163,40,57,12,0,8,46,10,14,12,5,0
Sophie Piskos,Louisiana,,0.349,0.408,0.611,1.019,50,149,27,52,13,1,8,31,4,13,15,7,0
Araceli Pesqueira,Gardner-Webb,,0.349,0.444,0.457,0.901,44,129,13,45,12,1,0,14,6,16,17,1,3
Lou Allan,Liberty,,0.349,0.431,0.529,0.96,62,189,21,66,10,0,8,2,4,23,0,0,0
Kelly Torres,Duke,,0.349,0.481,0.53,1.011,44,83,20,29,6,0,3,18,7,15,8,1,1
Martha Epenesa,BYU,,0.349,0.463,0.612,1.075,52,152,46,53,13,0,9,0,9,26,0,0,0
Reagan Armour,Chattanooga,,0.349,0.371,0.698,1.069,47,126,27,44,9,1,11,34,0,5,25,0,1
Laney Credeur,Louisiana,,0.348,0.464,0.598,1.062,50,92,13,32,5,0,6,23,0,20,17,0,0
Skyler Shellmyer,Northwestern,,0.348,0.418,0.408,0.826,58,201,58,70,9,0,1,8,1,23,30,22,4
Dayna Denner,Toledo,,0.348,0.477,0.66,1.137,49,141,31,49,12,1,10,34,8,27,33,1,0
Niki Carver,Ohio State,,0.348,0.477,0.652,1.129,53,132,32,46,5,1,11,0,23,13,0,0,0
Taylor Sanders,Western Kentucky,,0.347,0.427,0.66,1.087,50,144,35,50,12,0,11,54,4,19,28,5,1
